arm,trial,cohort,role,type,source,seat_turn,question_excerpt,answer_excerpt
conductor,2r1,v1,scored,choose-option,HUMAN.md#project-context,1,Brownfield detected. May I perform a read-only scan to analyze the architecture?,Yes. Scan the fixture; product is Shelfmark reading-list with cookie sessions.
conductor,2r1,v1,scored,product,HUMAN.md#project-context,1,Does the proposed title Shelfmark and reading-list summary capture the vision?,"Yes. Paste URL, notes, tags; find by tag or title word."
conductor,2r1,v1,scored,choose-option,HUMAN.md#project-context,1,Product definition mode: Interactive or Autogenerate?,Autogenerate from HUMAN.md project-context and codebase (brownfield).
conductor,2r1,v1,scored,approve-plan,HUMAN.md#product,1,Approve drafted product.md?,Approve.
conductor,2r1,v1,scored,choose-option,HUMAN.md#product,1,Product guidelines mode: Interactive or Autogenerate?,Autogenerate; API keys copy and timestamps from product section.
conductor,2r1,v1,scored,approve-plan,HUMAN.md#product,1,Approve drafted product-guidelines.md?,Approve.
conductor,2r1,v1,scored,choose-option,HUMAN.md#project-context,1,Confirm inferred tech stack (TS/Express/SQLite/Vitest/Playwright Docker)?,Yes. Wrap legacy session/query; no new runtime deps; make smoke/test-docker.
conductor,2r1,v1,scored,approve-plan,HUMAN.md#project-context,1,Approve drafted tech-stack.md?,Approve.
conductor,2r1,v1,scored,choose-option,HUMAN.md#clarify,1,"Copy TypeScript, JavaScript, HTML/CSS, general style guides? Additional needed?",Yes those four. No additional guides.
conductor,2r1,v1,scored,choose-option,HUMAN.md#defaults,1,Workflow mode: Default or Customize?,Default workflow; adapt commands to make test-docker and make smoke.
conductor,2r1,v1,scored,choose-option,HUMAN.md#defaults,1,Install extra catalog skills (Firebase/GCP)?,No. None match this stack; skip extra skills.
conductor,2r1,v1,scored,choose-option,HUMAN.md#scope,1,Start defining the first actionable track now?,Yes. F1 named API keys and Bearer auth on /api/*.
conductor,2r1,v1,scored,choose-option,HUMAN.md#scope,2,Is this track a Feature (named API keys / Bearer on /api/*)?,Yes. Feature track for F1 API-key authentication.
conductor,2r1,v1,scored,clarify,HUMAN.md#clarify,2,Where should keys be created and stored?,"Settings UI + SQLite migration 0004; extend JSON API auth, not a new app."
conductor,2r1,v1,scored,clarify,HUMAN.md#product,2,"Key format, list display, timestamps?",Prefix+secret (>=32 random bytes); mask tail in list; YYYY-MM-DD; UTC stored.
